,model,period,conf,bitrate_start_incl,bitrate_end_excl,abs_value,abs_min_approx_rb,percentage,percentage_min_approx_rb
0,after,15,0.9,0,500,73.0,73.0,20.334672463614364,20.334672463614364
1,after,15,0.95,0,500,98.0,98.0,28.923498058669203,28.923498058669203
2,after,15,0.97,0,500,124.00000000000001,124.0,38.11147995825335,38.11147995825335
3,after,15,0.9,500,1000,124.0,124.0,19.1532675049531,19.1532675049531
4,after,15,0.95,500,1000,154.0,154.0,24.632352941176467,24.632352941176467
5,after,15,0.97,500,1000,176.0,176.0,28.64758609149797,28.64758609149797
6,after,15,0.9,1000,1500,175.0,175.0,16.911764705882355,16.911764705882355
7,after,15,0.95,1000,1500,215.0,215.0,21.156534328680777,21.156534328680777
8,after,15,0.97,1000,1500,242.0,242.0,24.653606430554447,24.653606430554447
9,after,15,0.9,1500,2000,222.0,222.0,14.86603055585911,14.86603055585911
10,after,15,0.95,1500,2000,274.0,274.0,18.957077732965224,18.957077732965224
11,after,15,0.97,1500,2000,308.0,308.0,22.072131121851605,22.072131121851605
12,after,15,0.9,2000,2500,271.0,271.0,13.97429813841611,13.97429813841611
13,after,15,0.95,2000,2500,345.0,345.0,17.943932012156672,17.943932012156672
14,after,15,0.97,2000,2500,395.7308148476818,395.7308148476818,21.425650054729193,21.425650054729193
15,after,15,0.9,2500,3000,293.29515759835704,293.29515759835704,12.101908227540374,12.101908227540374
16,after,15,0.95,2500,3000,392.7451575983568,392.7451575983568,16.4198086798716,16.4198086798716
17,after,15,0.97,2500,3000,509.0,509.0,22.86888476300499,22.86888476300499
18,after,15,0.9,3000,3500,335.0,335.0,11.804421787924564,11.804421787924564
19,after,15,0.95,3000,3500,462.4881185172421,462.4881185172421,16.74660552079107,16.74660552079107
20,after,15,0.97,3000,3500,980.1247406896491,663.0,28.777614308628046,24.83633387888707
21,after,15,0.9,3500,4000,361.40391638571805,361.40391638571805,10.530036223817989,10.530036223817989
22,after,15,0.95,3500,4000,480.807832771436,480.807832771436,15.172949164434787,15.172949164434787
23,after,15,0.97,3500,4000,893.2939932572644,598.0,49.97382838852076,20.040214477211794
24,after,15,0.9,4000,4500,450.9302785326511,450.9302785326511,12.083996190747147,12.083996190747147
25,after,15,0.95,4000,4500,689.0326684783599,658.0,19.433140575485574,18.67196367763905
26,after,15,0.97,4000,4500,1017.3526684783519,658.0,27.486253999335418,18.67196367763905
27,after,15,0.9,4500,5000,423.5152350421414,423.5152350421414,9.755345335997681,9.755345335997681
28,after,15,0.95,4500,5000,821.6914102528453,695.0,20.09170800652045,17.89853206283801
29,after,15,0.97,4500,5000,1063.1314102528413,695.0,24.271315754085094,17.89853206283801
30,after,15,0.9,5000,5500,537.5162458868332,537.5162458868332,11.708138277345647,11.708138277345647
31,after,15,0.95,5000,5500,1080.6649835473345,953.0,25.033609946572284,21.444644464446444
32,after,15,0.97,5000,5500,1190.104983547335,953.0,28.11022791533759,21.444644464446444
33,after,15,0.9,5500,6000,684.1467829113261,684.1467829113261,13.518683243894811,13.518683243894811
34,after,15,0.95,5500,6000,1173.3289236123474,755.0,25.29064777296719,14.87977926685061
35,after,15,0.97,5500,6000,1376.6489236123489,755.0,30.35063207045542,14.87977926685061
36,after,15,0.9,6000,6500,603.3025938400219,558.0,10.003815527823665,9.758656873032528
37,after,15,0.95,6000,6500,765.4525938400193,558.0,10.881303382376998,9.758656873032528
38,after,15,0.97,6000,6500,830.312593840018,558.0,11.232298524198342,9.758656873032528
39,after,15,0.9,6500,7000,1270.297207000086,867.0,23.59069200221758,15.250659630606862
40,after,15,0.95,6500,7000,1737.547207000085,867.0,33.25324373328935,15.250659630606862
41,after,15,0.97,6500,7000,1924.4472070000838,867.0,37.11826442571805,15.250659630606862
42,after,15,0.9,7000,7500,813.705875005593,742.0,13.536421539780939,11.518324607329843
43,after,15,0.95,7000,7500,857.705875005593,742.0,14.774761703971421,11.518324607329843
44,after,15,0.97,7000,7500,875.3058750055925,742.0,15.270097769647606,11.518324607329843
45,after,15,0.9,7500,8000,932.5355215718032,901.0,16.017179944359512,13.494084169537219
46,after,15,0.95,7500,8000,950.3855215718031,901.0,17.44532374334608,13.494084169537219
47,after,15,0.97,7500,8000,957.5255215718025,901.0,18.01658126294072,13.494084169537219
48,after,15,0.9,8000,8500,1005.3279183092693,603.0,12.913830423483777,7.639680729760548
49,after,15,0.95,8000,8500,1070.3279183092693,603.0,13.765920756992486,7.639680729760548
50,after,15,0.97,8000,8500,1096.327918309269,603.0,14.106756890395971,7.639680729760548
