,model,period,conf,abs_value,abs_wo_approx,percentage,percentage_wo_approx
0,after,15,0.9,176.0,176.0,16.42728750399305,16.42778390297685
1,after,15,0.95,230.0,230.0,21.073645528729678,21.074815595363543
2,after,15,0.97,275.0,275.0,24.675324675324674,24.675324675324674
3,after,60,0.9,202.0,202.0,18.133728072767134,18.134715025906736
4,after,60,0.95,261.0,261.0,22.727272727272727,22.727272727272727
5,after,60,0.97,311.0,311.0,26.241348908518702,26.251276813074565
6,after,120,0.9,216.00000000000003,216.0,18.954059414071786,18.95734597156398
7,after,120,0.95,274.0,274.0,23.544725612045426,23.54988399071926
8,after,120,0.97,329.1880303963794,330.0,27.658946362273674,27.698574338085542
9,after,180,0.9,233.80931461963954,234.0,19.11130521531979,19.112627986348123
10,after,180,0.95,305.0,305.0,23.416841215184107,23.43470483005367
11,after,180,0.97,386.50794385891834,389.0,27.70874106326229,27.75862068965517
12,after,240,0.9,224.85782945563645,225.0,18.51732990097514,18.51851851851852
13,after,240,0.95,291.3156589112722,292.0,23.11059562593566,23.118279569892472
14,after,240,0.97,366.13348836690807,368.0,27.672845061418002,27.710843373493976
15,after,360,0.9,262.27089061090254,263.0,19.258318165347657,19.27710843373494
16,after,360,0.95,351.412671832707,353.0,23.47076977896623,23.51129363449692
17,after,360,0.97,497.9508906109023,498.0,30.696494254555414,30.717185385656293
18,after,480,0.9,260.0,260.0,19.333386310824647,19.33579335793358
19,after,480,0.95,353.7899767181865,356.0,23.919970853511504,23.959827833572454
20,after,480,0.97,572.0764416091355,583.0,36.344435413422815,36.690140845070424
21,after,720,0.9,269.0,269.0,18.99586740294929,19.002890173410407
22,after,720,0.95,397.149407701415,402.0,23.819547257718522,23.905723905723907
23,after,720,0.97,962.4205577606526,628.0,48.51909355274054,35.77235772357724
24,after,1440,0.9,355.1508368613731,356.0,21.98155945742468,21.998450813323007
25,after,1440,0.95,606.2625529205945,628.0,34.943815670489975,35.77235772357724
26,after,1440,0.97,1286.6625529206158,628.0,60.87786445097862,35.77235772357724
27,before,15,0.9,144.50565619775284,144.5073327695959,12.843298710303628,12.843817531866941
28,before,15,0.95,203.5053041042753,203.55054757230118,17.87201284456118,17.87375950680876
29,before,15,0.97,250.39302904830078,250.41600972658307,21.642334213105073,21.64249832806999
30,before,60,0.9,243.83171926692054,243.84242097771312,25.04576187019527,25.047714308708454
31,before,60,0.95,357.60735847374195,357.6251871193349,38.41434799289647,38.43169523391525
32,before,60,0.97,457.73327793719426,457.790181379465,52.365242290668974,52.381106737533955
33,before,120,0.9,130.7127307734488,130.72601497238566,10.369386621704376,10.373903550061096
34,before,120,0.95,194.59474374190796,194.62832697158933,14.766526124882898,14.773981215136859
35,before,120,0.97,251.74690207609493,251.84042861057105,18.758853199554046,18.76812491786067
36,before,180,0.9,150.7045044906151,150.70834724944302,10.697739603656247,10.698154366663772
37,before,180,0.95,227.95461758588104,228.24030086127107,16.264736653768303,16.329140246767928
38,before,180,0.97,323.4397739998548,323.73867029208486,21.84053500478137,21.861499033864078
39,before,240,0.9,112.44728387691973,112.52595613881954,8.443537357556213,8.446366275317128
40,before,240,0.95,169.7952421172537,169.87210635106567,11.895992911075169,11.902953845322713
41,before,240,0.97,247.00832905052948,247.1096053405463,15.427408771905787,15.430345662455924
42,before,360,0.9,117.33860363998303,117.40263775448216,7.0919206085926065,7.117824121574415
43,before,360,0.95,197.89015266992976,199.32376097133442,10.272579132828112,10.284937296647835
44,before,360,0.97,312.28548739601155,312.46652575139433,15.85239332749492,15.856713936229097
45,before,480,0.9,136.36639351828532,136.4076957599916,7.540630191716018,7.542439659481206
46,before,480,0.95,218.2850942083248,219.26789171979726,13.016659648338509,13.022520466130294
47,before,480,0.97,417.7294321256743,430.05844646421065,23.255535109568136,23.28135821825401
48,before,720,0.9,110.28702362482957,110.70308337162487,5.898750634008795,5.902593974948602
49,before,720,0.95,208.06269465341057,210.81390100417593,9.930011581470888,9.947461656291361
50,before,720,0.97,445.6019787771165,350.2450111435637,21.237388860378047,17.862607732982102
51,before,1440,0.9,162.00758739269241,162.03305724924803,8.68556669947909,8.709556534543154
52,before,1440,0.95,349.9136527656949,350.1363774842466,20.11688340705409,21.83655958939743
53,before,1440,0.97,356.88511992782423,350.1363774842466,73.94416451289271,21.83655958939743
